,source,text,date,retweet_count,favorite_count,id_str,time
6815,Twitter for Android,"""@ktd101551: @CNNPolitics Trump gave a great speech in Ala. What's more important a protester? I wouldn't give these folks 1 sec of attn""",2015-11-22,891,2291,668560227772604416,22:42:34.000000
6998,Twitter for iPhone,It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility.,2015-12-03,1076,2394,672498342656634880,19:31:13.000000
7081,Twitter for Android,Should have gone after the oil years ago (like I have been saying).,2015-12-07,2431,7797,673675346030542848,01:28:13.000000
7100,Twitter for iPhone,Just put out a very important policy statement on the extraordinary influx of hatred &amp; danger coming into our country. We must be vigilant!,2015-12-07,2477,5767,673982228163072000,21:47:39.000000
7322,Twitter for iPhone,#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil! https://t.co/vObIAhilWs https://t.co/teKBaKdXzK,2015-12-18,4550,9833,677702212215308288,04:09:33.000000
7331,Twitter for iPhone,Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ,2015-12-18,3661,9012,677990258387116032,23:14:08.000000
7409,Twitter for iPhone,"The silent majority- is silent no more! Remember the importance of VOTING!
#MakeAmericaGreatAgain #Trump2016 https://t.co/wBdSg5ab25",2015-12-23,3447,6696,679673029400641536,14:40:52.000000
7498,Twitter for iPhone,The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!,2015-12-30,1052,3166,682201111948824576,14:06:34.000000
7568,Twitter for Android,"Iran, with all of the money and all else given to them by Obama, has wanted a way to take over Saudi Arabia &amp; their oil. THEY JUST FOUND IT!",2016-01-03,2525,5338,683739850185543680,20:00:58.000000
7841,Twitter for iPhone,"For the great people of Iowa, find your #IACaucus location at https://t.co/3KWOl20zMm. So important to vote! #MakeAmericaGreatAgain",2016-01-23,1552,3624,690991290310197248,20:15:36.000000
7904,Twitter for iPhone,"For the great people of Iowa, find your #IACaucus location at https://t.co/ANvTcZqfOq - so important to vote! #MakeAmericaGreatAgain",2016-01-26,1732,4025,692018253678415872,16:16:23.000000
7997,Twitter for Android,"Ted Cruz is in trouble for not reporting his bank borrowing in his very important Financial Disclosure Form. Very low interest loans, scam!",2016-01-31,2143,6459,693784955537592320,13:16:37.000000
8119,Twitter for iPhone,"A message to the great people of New Hampshire on this important day! #VoteTrumpNH 
Video: https://t.co/7S2f2GSMB8 https://t.co/9WwRWnvqiv",2016-02-09,2489,6097,697065472425123840,14:32:14.000000
8162,Twitter for Android,"""@by @tedcruz good I want to see the court decide what I was always told ""natural born"" means - born on American soil""",2016-02-12,1586,4919,698259611833520128,21:37:19.000000
8316,Twitter for Android,"It is so important to audit The Federal Reserve, and yet Ted Cruz missed the vote on the bill that would allow this to be done.",2016-02-22,6671,12056,701868541545295872,20:37:55.000000
8447,Twitter for Android,"While I hear the Koch brothers are in big financial trouble (oil), word is they have chosen little Marco Rubio, the lightweight from Florida",2016-02-28,3241,8318,703904675289042944,11:28:47.000000
